date,symbol,calendarYear,period,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation
2023-12-28,1101.TW,2023,Q4,34.95,35.0,34.7,34.9,34.9,9397397,9397397,-0.05,-0.14306,34.87,"December 28, 23",-0.0014306,35.92063492063493,35.57128990443367,35.31903350272915,33.836570455169685,33.605617008668865,-60.11235955056182,59.09047109989388,11.645085059815282,2.066510841295843
2023-12-27,1101.TW,2023,Q4,34.65,34.9,34.65,34.9,34.9,11423455,11423455,0.25,0.7215,34.82,"December 27, 23",0.007215,35.915873015873025,35.57663882797497,35.32706411945541,33.83344583652109,33.59217858132442,-60.11235955056182,59.09047109989388,11.651689884769429,2.0702364598634735
2023-12-26,1101.TW,2023,Q4,34.6,34.7,34.5,34.65,34.65,5467401,5467401,0.05,0.14451,34.62,"December 26, 23",0.0014451,35.911706349206355,35.58203037242098,35.3350617981053,33.830338941417466,33.578650798422565,-62.921348314606774,58.93841676363737,11.658792034372363,2.0733311957095863
2023-12-25,1101.TW,2023,Q4,34.4,34.65,34.35,34.5,34.5,7304056,7304056,0.1,0.2907,34.5,"December 25, 23",0.002907,35.90793650793652,35.58945690925302,35.34500596022337,33.83123431443611,33.57100952441669,-64.60674157303372,58.84700539617719,11.666864459367469,2.0764831446310885
2023-12-22,1101.TW,2023,Q4,34.2,34.35,34.15,34.3,34.3,5495257,5495257,0.1,0.2924,34.27,"December 22, 23",0.002924,35.9027777777778,35.59813784080085,35.35609511261685,33.8345864357404,33.56695933117447,-66.8539325842697,58.724976195995865,11.675204374941785,2.081583127260751
2023-12-21,1101.TW,2023,Q4,34.25,34.35,34.15,34.25,34.25,7131400,7131400,0.0,0.0,34.25,"December 21, 23",0.0,35.89900793650796,35.60848156861599,35.368735491561566,33.84122168893992,33.567753622869425,-67.41573033707866,58.694477334139165,11.684990329423297,2.0853392742731094
2023-12-20,1101.TW,2023,Q4,34.45,34.6,34.25,34.5,34.5,8983096,8983096,0.05,0.14514,34.45,"December 20, 23",0.0014514,35.895238095238106,35.6193061229476,35.381741326306525,33.84878904557384,33.56988475339075,-64.60674157303372,58.91126663558538,11.69481527177127,2.089172090249087
2023-12-19,1101.TW,2023,Q4,34.7,34.7,34.2,34.35,34.35,8776646,8776646,-0.35,-1.01,34.42,"December 19, 23",-0.0101,35.89206349206351,35.628224896835626,35.39274578078928,33.85251888755409,33.56620331850558,-66.29213483146067,58.820370069462534,11.704114322094286,2.0918958582307665
2023-12-18,1101.TW,2023,Q4,34.45,34.7,34.35,34.55,34.55,7343604,7343604,0.1,0.29028,34.53,"December 18, 23",0.0029028,35.88928571428572,35.63840995577455,35.40491404730536,33.85873995356515,33.56617899263222,-64.04494382022476,58.993687476782966,11.713450420426557,2.0944049344571503
2023-12-15,1101.TW,2023,Q4,34.5,34.55,34.3,34.3,34.3,22077978,22077978,-0.2,-0.57971,34.38,"December 15, 23",-0.0057971,35.88730158730159,35.64708254506359,35.41548560135517,33.861904494675436,33.56150432252842,-66.8539325842697,58.84269875292953,11.721980152879077,2.095909058633263
