date,symbol,calendarYear,period,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation
2023-12-19,1101.TW,2023,Q4,34.7,34.7,34.2,34.35,34.35,8776646,8776646,-0.35,-1.01,34.42,"December 19, 23",-0.0101,34.325,34.17672016613443,34.3852380952381,34.5709783430089,34.61105796801427,-62.16216216216204,54.034616491904224,22.266982876962132,0.31563428204173277
2023-12-18,1101.TW,2023,Q4,34.45,34.7,34.35,34.55,34.55,7343604,7343604,0.1,0.29028,34.53,"December 18, 23",0.0029028,34.31750000000001,34.15848018362227,34.38214285714286,34.57599923870821,34.643558649820356,-51.35135135135147,56.03241521333278,22.35209064358536,0.31673135304229055
2023-12-15,1101.TW,2023,Q4,34.5,34.55,34.3,34.3,34.3,22077978,22077978,-0.2,-0.57971,34.38,"December 15, 23",-0.0057971,34.27,34.11726757137198,34.35547619047619,34.53752338842721,34.614931078467805,-50.00000000000014,54.01337575710314,22.221321075056643,0.34799425282610635
2023-12-14,1101.TW,2023,Q4,34.5,34.55,34.1,34.4,34.4,10784685,10784685,-0.1,-0.28986,34.35,"December 14, 23",-0.0028986,34.215,34.09803257888482,34.34738095238095,34.54329085787975,34.65384918775907,-44.00000000000006,54.97264928588305,22.218530129605977,0.41865857210858554
2023-12-13,1101.TW,2023,Q4,34.15,34.2,34.05,34.05,34.05,8812839,8812839,-0.1,-0.29283,34.1,"December 13, 23",-0.0029283,34.1475,34.0662465345569,34.32333333333334,34.5265880617497,34.66386735876153,-58.00000000000012,52.14683610750314,22.215592292289486,0.48669163748722877
2023-12-12,1101.TW,2023,Q4,34.4,34.4,34.1,34.15,34.15,8902876,8902876,-0.25,-0.72674,34.22,"December 12, 23",-0.0072674,34.1025,34.06795669608921,34.32833333333333,34.578465387676715,34.7803623014003,-50.0,53.05051093120199,22.528890080277023,0.5330279073369426
2023-12-11,1101.TW,2023,Q4,34.6,34.65,34.2,34.4,34.4,7542239,7542239,-0.2,-0.57803,34.42,"December 11, 23",-0.0057803,34.02,34.059320558835445,34.31595238095238,34.6149308701784,34.88318171036518,-36.666666666666714,55.32765275074698,22.793767740819412,0.6368673331236265
2023-12-08,1101.TW,2023,Q4,34.7,34.85,34.6,34.6,34.6,12321862,12321862,-0.1,-0.28818,34.68,"December 08, 23",-0.0028818,33.94,34.023459565028645,34.27214285714286,34.601694178495634,34.92080625135243,-29.999999999999954,57.19343199918698,22.945386422841956,0.6829348431585556
2023-12-07,1101.TW,2023,Q4,34.6,34.75,34.4,34.5,34.5,7285840,7285840,-0.1,-0.28902,34.55,"December 07, 23",-0.0028902,33.8525,33.962771098189556,34.20095238095238,34.54118404623503,34.89406519818154,-33.33333333333333,56.49658901428566,22.569855890329862,0.7045344207347152
2023-12-06,1101.TW,2023,Q4,34.95,35.05,34.6,34.6,34.6,11672242,11672242,-0.35,-1.0,34.75,"December 06, 23",-0.01,33.772499999999994,33.90622068747267,34.13166666666667,34.48896879827972,34.88333049740323,-29.999999999999954,57.38402935725128,22.25018976918433,0.7171950571497274
2023-12-05,1101.TW,2023,Q4,34.0,34.9,34.0,34.9,34.9,24204590,24204590,0.9,2.65,34.6,"December 05, 23",0.0265,33.68749999999999,33.833191286154005,34.044761904761906,34.404251902043136,34.828437864051196,-20.00000000000005,60.07335690697191,21.63857376253064,0.714820781734835
2023-12-04,1101.TW,2023,Q4,34.5,34.55,34.05,34.05,34.05,23713712,23713712,-0.45,-1.3,34.22,"December 04, 23",-0.013,33.56999999999999,33.72089563206495,33.91809523809524,34.23977223764283,34.65642534323524,-46.77419354838717,54.30970264174882,21.098539305437114,0.6988204347327011
2023-12-01,1101.TW,2023,Q4,34.6,34.75,34.3,34.4,34.4,35044896,35044896,-0.2,-0.57803,34.48,"December 01, 23",-0.0057803,33.50749999999999,33.68625306701916,33.86642857142858,34.22510569761208,34.70559304986084,-35.483870967741964,57.56004393029296,20.78373190749603,0.7089208347904591
